,text
415,아니 ㅠ 내가 뒷계를 우울계로 쓰고 이 계를 일상계로 쓰려 했는데 일상이 우울해서 우울트밖에 없음 그래도 여기선 ㅈㅅ트는 안 쓸거야
416,ㅆㅂ 가스라이팅 하는 기분이라 대가리 터질것같음 그만해야 하는데 그만해 뚝해 밈님 대걸레로 탐라 우울트들 쓸어태워버리며
417,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
418,"종현이가 샤 말고 타가수에게 써준 노래에서 고르기
우울시계 레드캔들 플레이보이"
419,"이정도면 우울계아니냐구요..................
비계에 써야겟다 인제.........."
420,"이젠 너무도 습관적으로 나보다 남을 우선으로
생각해서 할말도 잘 못하고 내 입장 내가 챙겨야
하는데 특히 공적이고 진로와 관련된.. 등등 상황에서 내 목소리를 못내니까 화만 쌓이고 우울감만 쌓이고"
421,아 트친소열때마다 우울트 주의하라고 적어야할지경이네
422,10. 근래 받는 스트레스가 너무 심해졌어요. 우울트윗을 쓰고싶지 않아서 잘 안들어오려고 합니다. 양해부탁드려요:)
423,"간호사 역시 구조적 문제의 피해자인데 이런 상황들을 계속 겪게 되면 자책하고 죄책감을 가지는 경우가 많으며, 심하면 이런 문제가 우울로 이어져 자살하는 경우도 있다."
424,ㅎㅏ....오늘 왴캐 우울
425,우울과 불안이 언제 또 올수도 있지만 지금은 그런 걱정 안해. 그냥 나 잘 살면서 우리 보쌈이랑 파이리랑 파이썬이랑 친구들이랑 행복하면 그만~ 거기다가 돈만 좀 잘 벌면 최고
426,그냥 정신 나간척하고 옥상에 앉아서 존나 소리지르면서 울고싶다 #우울
427,병원에서 주기적으로 우울/불안 테스트? 설문지? 쓰는데 이번에 점수 엄청 좋게 나왔다. 호호 내가 제일 잘 알지. 지금 내가 제일 좋으니까
428,"@doll_lln
 님에게 보내는 답글"
429,"우울할 때, 내 인생에 (늘 우울했지만) 가장 우울하고 힘들었던 시기를 가장 좋아하는 노래들로 견뎌냈던 건 정말 잘못한 일이었어. 정말정말...... 소중한 것을 조금 잃어버린 것 같아."
430,트윗 넘 우울햇던거 같당 탐라 물 흐려서 미안해유 이제 안울어유
431,저 진짜 잘못한 거 알아가지고 일어나자마자 형한테 전화했는데 안 받길래 카톡으로 장문 사과문 써서 싹싹 빌었거든요 ㅜㅜ 다음부터 그런 일 없게 만들라고 답장은 왔는데 그런 거 뭔 줄 아시죠 말은 다정한데 분위기가 무섭고 쫄리는 거 ㅠㅠ 우울 퀔아 돼가지고 쫑알쫑알 말하는 것도 보고 싶음
432,내가 우울할때 많이 듣던 곡 우울시계
433,난 또 시발 그새 기분이 좀 좋아진 건가 왜 이리 또 착한 사람처럼 구냐 거지같네
434,상처 잘 받는 건 인정하는데 우울 빈도가 많은 건 그냥 이래저래 상황이 좃같기 때문이라고 생각함
435,"@withangelonew
 님에게 보내는 답글"
436,"@daki_talk
 님에게 보내는 답글"
437,"ㅅㅊㅇ
현대 예술론 현예론
눈과 비로 만든 세계 눈비세 
우울을 굳혀 만든 것 우울굳 
Salvation in Sunshine S.S
니엔테
너와 만난 바다 너바다
장미담장 아래 파반느 장미담장 
점보 타이만 점타
Rusted Salvation R.S"
438,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
439,ㅇ아악 ㄴ너넘너무 ㄱ구귀귕귀여영여우워 ㅠㅠㅠㅠㄴ누눅누가 ㅇ이일이러렇ㄱ게 ㄱ구귀귕귀여영여우울
440,"@army_RM_SUGA
 님에게 보내는 답글"
441,"약간 그런거 보고 싶다, 정신과 의사 황시목이랑 환자 서동재로,,, 숨기고 지냈던 성정체성 아내에게 들키고 이혼하게 된 이후로 조금 우울증 있었는데 남자 만나는 걸로 풀지만 그것도 매번 호구 잡히고 만나는 놈들마다 질 나쁜 것들이라 극단적인 생각과 우울감때문에 겨우 병원에 찾아온 거,"
442,소손떨려이게
443,씻고 주변 아파트 옥상 탐색하다가 돌아와서 저녁 먹으면 딱 될 것 같은데.. 존나 귀찮네
444,"빡치진,,, 않아 빡치진 않는데 우울무기력모드임 지금"
445,"@mouse_niconi
 님에게 보내는 답글"
446,불노소득 너무 많은  한국사회 근로의욕 떨어지고 우울감으로 시들어 간다. 요행과 투기에 만 기대하는 한국경제 커다란 암초이다.
447,"수요일 영상 예약 
 
내일 아침 일찍 금요일 영상을 찍으러 가야하니 일찍 자보겠습니다 "
448,"텄다 그런 대화를 나누고 책에 집중될리가
암만 생각해도 나쁜 굴레야 왜 우울한지는 아직 모르겠으나...우울☞무기력☞생산성↓☞불안☞사고침☞우울☞……
히히 근데 한번씩 철학 책 읽으면 싹 씻기는거지 아 미물~~~~ 세상이 왜 이래"
449,우울한테 숨쉬기도 힘드네
450,"@ Paengro_Making<-웨엉이 계이 계정
/자동 트윗
/이제 우울트 보단 건강트,팔찌트,찐덕질 트 위주,교류 위주로 열심히 새로운 마음가짐으로 할 계정♡
/자동 트윗!-2-"
451,"내가 부족해서,내가 더 알지 못했기 때문에"
452,살짝 우울쓰 아무 생각 없이 게임만 하고 싶네 조금 있다 할거지만
453,ㅋㅋ 일어났는데 죽는다는 게 말이 안 되지만... 하 죽고 싶어 우울쓰
454,"주어진 환경에서 최선을 다한다는 말 만큼 멋진말이 또 어디있을까

인간은 욕심이 많아서 주어진 환경에 만족하지 못하고 고뇌에 빠지고 우울에 빠지기 쉽다

우울증이 아니어도 열심히 살려고 해도 내가 10만큼 노력하면 내 위에 2~30만큼 노력하는 사람이 있어."
455,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
456,다른 애들이랑 나랑 다를게 뭐가 있다고 나를 그렇게 싫어해?
457,"@koman0120_1
 님에게 보내는 답글"
458,"우우 내 이야기인줄 알았어ㅠ
이렇게 생각하지 않으면 정말 내가 가진게 없는 사람같아서 우울에 빠지게 될까 내 스스로를 저 말로 달래게 된다.

내가 노력이 부족해서도 있고 게을러서도 있겠지만 잠자는 시간을 아껴 내 미래의 건강을 땡겨쓰며 아등바등 살고 싶지 않은 걸ㅠ"
459,.ㅡㅡ..........걍학교오지말걸.. 시간만 버리네.. 우울..
460,"@WDozmbsO4ux0zQG
 님에게 보내는 답글"
461,"@xmulumix
 님에게 보내는 답글"
462,"그... 참담함... 그... 우울감... 그... 분노감...
형용할 수 없을 정도로 많은 감정이 스치우는 순간
그 부분에서 느껴지는 절절함이 나를 슬프게 함
그러면서 또 이상한 기쁨을 줌
ㄹㅇ 이상성욕 맞네"
463,"윽, 조금만 일처리 실수해도 한없이 피어나는 우울감... 
 
여기 계속 있으면 또 눈물만 줄줄 흘리면서 글 쓸 것 같아서 저녁에 다시 찾아오는게 좋을 것 같아요.
남은 하루 행복하게 보내시길 진심으로 기도할게요. "
464,"내 어린 시절 과거부터 좋아하던 사람이 있었음. 가족이랑 사이가 좋지 않고 아빠의 술버릇이 좋지 않던 사람이라 엄마는 거기에 순종적이였고, 15살 자뭇 나이에 내 우울을 받아주던 사람이였음 그 때에 알고보니 자신도 우울증이 있었지만, 내 한풀이를 하루에 4시간이고 5시간이고 들어줬던"
465,"산다는 것의 무의미와 우울이 쾅쾅 소리를 내어 다지는 것처럼 전신을 내리누르는 것이었다.
[생활적]"
466,"@BibianeRubycom
 님에게 보내는 답글"
467,"@Q_noir_
 님에게 보내는 답글"
468,울상계랑 우울계가 뭐가 달라?
469,"후보...
여름, 꽃, 우울
청춘 100%즐기기! 너에게 닿기를
어느 여름의 잔해
지구 최후의 고백"
470,오노 우울계는 보고싶지않아요 칼블락
471,"@19jyqPmMBe6bgjJ
 님에게 보내는 답글"
472,실패로 인한 우울감을 경험한 J형 ... 더는 계획을 세우지 않아서 계획을 지키지 않을 일을 만들지 않게 됨.. 우울감 미리 방지로 인생을 망치고 있음
473,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
474,+ 우울글은 올려도 크게 뭐라하지않지만 심하면 블락하니까 주의해줘. *
475,"@WDozmbsO4ux0zQG
 님에게 보내는 답글"
476,어제그제… 아니다 삼일전에도? 며칠 동안 계속 존나 미친여자처럼 우울햇는데 (물론 우울한일도 잇엇음) 그러고 나니까 드디어 한 60일만에 짬쮜에서 피가 안나온다… 임플라논 이제 일 하는거니…?
477,말하자면 [히로시마 내사랑]을 보며 수상한 우울에 젖어드는 여자는 하나의 종이지만 인생 영화라 꼽는 백인 남자는 일단 위험종이다. 하지만 이야기가 생명을 얻는 방법은 무수한 목소리들 사이에서 화자되는 것이니 이야기가 만드는 반응은 이야기의 리스크이기도 하다.
478,너하고~나하고~딱~두우우울~
479,우울훼.. 진짜 양성뜨면 어카지
480,"맨날하고 말도 순하게쓰고 맨날 웃고 하는게 얼마나 힘든지 알아?ㅋㅋㅋ근데 어떤애가 너 진짜 착하다 이러는데 4학년때까지만해도 좋았던 이말이 지금은 너무 가식적이고 나 한테 강요 하는것같고 부담돼
아니 그리고 왜 내가 욕하면 놀라?나도 너네랑 똑같은 사람인데 왜 나만 안돼
자해 하고싶다"
481,"스승의날로 롤링페이퍼해서 나까지 5명이서 꾸미는데 (쌤몰래)한 종이가 너무 심심해서 꾸미자고 할땐 안 꾸며도 된다고 보지도 않고 그러더니 다른애가 꾸미자니까 그래 이지랄ㅋㅋㅋㅋㅋ씨발
왜 아무도 내 말을 안 들어주는데 씨발 기분 좆같아
그리고 왜 맨날 나만 양보해야해?ㅋㅋㅋㅋ진짜 양보"
482,"@wlwl0628
 트친소 흔적 보고 모시러 왔습니다. 와주셔서 감사합니다."
483,"[행복 티켓]

작은 행복과 소소한 행운을 담은 티켓입니다.
당신의 우울로 이 티켓을 구매 할 수 있어요.
구매하시겠습니까?

[yes / no]"
484,"가명이 메피스토인 이유는 메피 설정 낭만주의입니다. 담이에게 했던 말이긴 한데, 낭만주의가 행복한 희열과 장엄한 숭고를 예찬했던 만큼 반대쪽으로는 우울과 몽상의 강력한 매료가 이루어지던 암흑낭만주의. 꿈속에서 살아가는 철없는 몽상가"
485,"@sister_n_snow
 님에게 보내는 답글"
486,얘들아사과버섯의우울쿨타임찼다.
487,맞아. 우리는 죽음과 우울을 흠모하는 생명체인지도.
488,페인스크릭 들어갓는데 쒸바 짱무서워 혼자못해 나우러
489,오늘은 여기 저기 우울한 소리 하는 사람이 많네. 나도 우울.
490,"@A_BUREW
 님에게 보내는 답글"
491,"18. 항상 블랙이나 화이트를 주로 해서 힙하게 입는걸 좋아하지만, 가끔 페이크로 핑크색의 귀여운걸 좋아하기도 한답니다...하핳"
492,"@19jyqPmMBe6bgjJ
 님에게 보내는 답글"
493,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
494,왜 세상 사람들은 나처럼 못 할까?
495,복잡하네
496,휴 시발 우울혀
497,"@Highninger
 님에게 보내는 답글"
498,"@PP_somacc
 님에게 보내는 답글"
499,"와 섹계 같다 우울계인데 케케케
샤워하구 왔쏘오
눈바디 많이 빠진거가탱"
500,"너의 말, 행동이 나를 옥상으로 불러내"
501,"선생님들 웡낫 합작 어떤 분위기로 쓰시나요,,, 저 우울 처돌이긴 한데 청춘이나 로코 느낌도 써보고 싶어요
    ㄴ 안 물어봣어요
        ㄴ ㅋㅋ루삥뽕"
502,"#우울계_트친소  #우울계트친소

익명의 트친소 요청으로 합니당
우울계 
자해 전시 x
술 가끔 
흔적 남겨주시면 찾아가요!!!"
503,약 없이는 감당못할 우울감이나 아침부터 붓고 아픈 목이나 뭉쳐서 아픈 가슴이나 누가 밟고 간거마냥 온몸이 쑤시는 걸 보니 대자연이 임박함 개같은 pms새끼
504,"@jh_kim331
 님에게 보내는 답글"
505,"@raretoryu
 님에게 보내는 답글"
506,"나 진짜 단순한놈이다
침다에 누어서 이불덮고 몇분 질질짜고
핸드폰하면 우울 퇴치됨 거기게 뭐 맛난거 먹거나 잠이라도 자면 효과 더 좋음"
507,나 어릿우울 사놓기만 하고 아직 열어보지도 않았는데 이거 얼른 읽고 또 빨리 읽고 싶어졌어
508,"밤이면 온갖 망상과 우울에 젖어 배앓이를 하고, 그런데 나를 달래던 애인은 없고, 문득문득 그리움이 치솟을 때마다 까무러치기라도 할 듯 울고. 네가 너무 보고싶었다. 너무 많이. 너무 깊이. 네가 늪이어서 나는 자주 빠져 죽고 싶었다."
509,"@LovePark_heart
 님에게 보내는 답글"
510,"@fridayfrenchfri
 님에게 보내는 답글"
511,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
512,날씨 좋으니까 우울터지는 노동요 들으면서 수요일 빨리 끝나길 바라고 있음
513,"그래도 점심시간을 빌려서라도
밖에 나와서 바람이라도 맞으니
아주 조금이지만, 우울감이 사라져"
514,소비생활 말고 건강해질수있는 방안은 없을까? 그러나 현대적으로 큐레이션된 주의산만프로그램(색색깔 알록달록 가격재질디자인비교)에는 옷쇼핑만큼 좋은것이없다 다꾸도 좋은데 일기쓰기시작하는순간 우울트 오프라인버전돼서 의미없어짐
515,"북미 더빙은.. 뭘 봐도 웃김
우울 할 때 일애니 북미 더빙 보면 기가 차서 웃고 있는 나를 발견할 수 있음"
516,"9. 읽은 로판 중 가장 장편이었던 소설 
  :: <추상의 정원>

10. 트친에게 추천해주고 싶은 로판
  :: 트친의 취향과 성향을 모두 고려해도 어려운 문제인데 이걸 이렇게 쉽게 <어릿광대의 우울>

 11. 웹소설 입문자에게 추천하고 싶은 로판
  :: 굉장히 복잡한 문제인데 <황궁 옆 마로니에 농장>"
517,"#일상계트친소 #일상계_트친소 #더비구함 아직 중학생이고 여자입니다! 더보이즈랑 일상 얘기해요 우울계랑 섹계, 남자분 빼고는 다 받을게요!"
518,난 딱히 우울로 인해 단기 기억력이 나빠진느낌은 안들던데....... 대신 그냥 중고등학교때 기억이 통째로 날아감
519,"ㅇㅅㅇ...
나의 19금 성향은? [19금 섹시텐션 테스트] https://bbumbbum.me/b/sexy/r/d5b70a/… #심리테스트 #mbti #밈"
520,"제가 선디엠으로 찾아가도 괜찮다!하시는 분들은 흔적 남겨주시면 찾아갑니다

아무도 없으면 울거에요ㅠㅠ"
521,나는 정말 진심인데 상처를 주고있는것 뿐일까
522, 욕트/우울트....여러가지 막 상관없이 다 씁니다. 필터링 거의 거치지 않고 말해요.
523,"하늘은 내 편이야, 언제든 죽을 수 있게 해주잖아"
524,"@rw_tyy
 님에게 보내는 답글"
525,"@asph0de1___
 님에게 보내는 답글"
526,근데 출간소식을 트친 통해 들었거든요. 엘릭시르는 트위터 할 생각 없으신가요... 페북페이지는 있지만 페북은 그냥 있을 뿐이고. 소식같은건 트위터가 더 빨리 나를 텐데.
527,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
528,나 진짜... 중간고사 기간에 하루하루 우울감에 조져질때였는데 전부다 점수 잘나온거 박수
529,이젠 우울감도 날아갔고 무료하구나
530,야레야레.. 초능력자가 나오는 추리소설이라니 내 후배잖아?
531,"시인장의 살인의 후속편
마안갑의 살인이 출간되었나봅니다.
초능력자가 등장하는 모양인데요"
532,"암욿한 대 대한민국 청년들 미래가 없으면 나라를 떠나는가?
미국은 4차산업으로 일자리가 넘처나 골라서 취직, 민간인 우주관굉시대가 열리는데 문가는 4년간 과거와 북괴에 몰두 청넌들은""구직난에 우울증 정신병원
신세에 불공정 상처난 청년은 문가가 만든1000조 떠안는다"
533,나 건강검진 결과 어제 나왓는데 운동부족과체중에 빈혈 고혈압 의심 중간단계 우울증 나왓음
534,우울증이나 불면증 겪는사람 있나? #섹트
535,"바나나 먹을래?.... 공복이지만,.,,. 바나나가 우울증에 효능이 좋대잖아............. 별로 좋아하지도 않지만,.,.,......"
536,"http://aiselftest.com/depressive/ 우울증으로 인해 면역력이 떨어지며 활성산소가 쌓이게 되면서
각종 질병에 대한 노출도 쉽게되기 때문에 내과적 검사도 해야 합니다.  우울증자가진단테스트"
537,"아무래도 우울증인가?
근데 내가 왜??
우울증 검색 좀 해봤다고 우울증이면...
너무 슬픔"
538,조금이라도 명상에 빠져보려고 기존에 사두고 못읽어본 책을 읽어보려고 한다거나 잠시 내려놨던 다른 분야 공부도 생각을 해봤는데 아예 활자가 글 자체로 뇌에서 받아들여지질 않습니다.. 이것도 우울증 일종인지는 모르겠는데 요즘은 음성도 제대로 뇌에서 인식을 못하는 것 같아요.
539,"@Sunik_8282
 님에게 보내는 답글"
540,나는 그냥 정신병잔데? 우울증에 조증도 있어 사실 잘 몰라 그냥 매번 우울증이라고 했는데 나한테 검사지도 사람들도 나도 인터넷도 그랬는데 어쩌면 그냥 자존감이 낮은 걸지도 모르겠다
541,"@TAENGYULy
 님에게 보내는 답글"
542,비둘기가 우울증이랑 청각장애가 있었구나...
543,어떤 주인공이든 당신 손에서 태어난 캐릭터는 당신 마음의 조각입니다 되는대로 써갈기다보면 어느새 고통스러웠던 마음이 해소되는걸 느끼게됩니다 ㅇㅇ 제가 쓰는 방법입니다 이 방법을 쓰면 우울증위험으로부터 긍정적으로 벗어날수있고 자아가 강해집니다 성장한 글쓰기 실력은 덤.
544,정말 중요해서 남편분한테만 따로 말씀드리는건데 졍우처럼 특히 몸 멘탈 다 연약한애는 혹시 아이 잃기라도 하면 쉽게 못이겨내고 우울증 올 수도 있다고 하는거야. 정말 만약 임신이 되도 졍우한테 너무 좋아하는 티를 낸다거나 주변 지인들이나 가족들한텐 얘기하지 않는 편이 좋을거라고
545,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
546,되게 허울 좋은 말들로 감싸고 포장하는 것보단 차가운 독설 쪽이 훨씬 편하지만 아직도 우울증이 심해서 그런지 듣고 있으면 아프다.
547,"@cresentcube
 님에게 보내는 답글"
548,"오잉? 나 우울증은 아닌데
그냥 모든사람이 그러는거 아니었냐긔
검사 중딩때받고안받은듯..
문제없지만"
549,"@PEPSI2330
 님에게 보내는 답글"
550,우울증이 심하건 안 심하건 나는 나인가보다
551,"그 우울증이 작년 11월부터 조금씩 나아지기 시작하고 나서 사고방식이고 뭐고 다 달라졌길래
엠비티아이 결과도 다르게 나오지 않았을까? 하고 해봤는데 똑같아서 신기했다"
552,"내가 계속 언급하는 우울증이 극심했던 시기 라는게
생각해 보면 우울증이 없다가 걸린게 아니라 그 전부터 계속 있었었다.
지금도 완벽하게 나았다고는 말을 못하는데"
553,"우울증일까
수면부족일까
자아도취일까
이기주의일까"
554,원래도 우울증이 심했는데 요즘 들어서 더 심해짐 그냥... 죽고 싶은 생각만 들고요 잠도 안 오고 자꾸 내가 죽고난 다음 상황을 상상하게 돼 감정기복도 없고 걸어다니는 로봇임 ㅋㅋ 난 날 사랑하고 싶엇는데... 그게 다였는데 평생 이러고 살아야 하나 봐
555,"집가니까 갑자기 우울증 말끔히 도짐 역시 사람은 히키코모리를 해야해 이따
뻘소리 지워야지~"
556,"불면증과우울증도얻을듯
시발"
557,일하다보면 자꾸 중심 못잡는듯 어지러움증이 자꾸 와서 찾아봤는데 내가 저혈압도 아니고 빈혈도 아니라서 대체 머지 했더니 심인성 어지러움증이라고 우울증 때문이라고 카더라...
558,"진짜로 단식하면서 왜 더부룩하지..,? 하고 소화제 먹었는데 생각해보니 이거 효과인듯., 머리도 살짝 아픔. 
잠은 잘 옴 아까 낮에도 살짝 잠.
근데 전 잠 원래 존나 잘자요. 약간의 우울증, 현실도피형이라서 과제가 쌓여있을때 잠 개많이 자긴 하는데 .,.하여튼 한알 먹고 잠이 안올정도는 x"
559,친구가 카톡으로 갑자기 빡쳐하길래 ???했는데 우울증 많이 호전된 이후로는 흐물흐물해져서 힘든가보지 하고 거의 커버 가능해... 물론 나중에 상대방이 자각한다는 조건 하임 호의가 권리가되면 침 탁 뱉음
560,"앰네스티와 함께 미얀마 군부의 심각한
인권 침해를 알리는 일에 동참해주세요!

여러분의 관심은 인권 침해의 진실을 찾고
전 세계에 알리는데 큰 도움이 됩니다."
561,그래..회귀하면서  우정도 변하고 우울증도 오고 남아나는게 없을 텐데 먹는거라도 맛있게 먹어야지....
562,"@IMPwitter
 님에게 보내는 답글"
563,"내 인생 최고의 우울증 치료제
김해청년"
564,우린 이걸 번아웃과 우울증 초기라고 부르기로 했어요
565,"@emanelfar10
 님에게 보내는 답글"
566,"밖에서 쓰러지듯 잠들면 큰일나니까 외출도 잘 안하고 커피도 자주 마셔. 언젠가 남편의 어머니는 제현을 따로 부르더니 좀 걱정스러운 눈빛으로 아프다면서. 해서 제혀니 좀 감동받았는데
우울증약먹니? 최박사가 그러더라고. 임신에 영향이 없을 수가 없다던데.
해서 이제현 걍 ㅎㅎ끊을게요. 하구"
567,근데 이거 ㄹㅇ 우울증 맞나여? 의심아니고 진짜 궁금해서 그런건데 걍 다 조금씩은 이러지? 정도의 차이로 우울증이냐 아니냐가 나뉘는거 맞징?
568,친구가 벌레때문에 거의 급성으로 우울증 온 거 같은디 나도 벌레 싫우... 그래도 친구가 더 힘드닉가... 최대한 도와줫우... 근데 지금 저기 벌레있어............살려줘!!!!
569,"담달엔 꼭 정신과 진료 받아야지
근데 다음달되면 또 안갈거임
내 우울증은 돈이있으면 괜찮아짐
돈이없어질수록 심해져서 아마 또 정신과 가야겠다는 생각이 들때쯤이면 돈이없을거임"
570,"@DrAhmedBassim1
 님에게 보내는 답글"
571,"@prose_oasis
 님에게 보내는 답글"
572,"어휴 ㅆㅂ

저것들 귀에 오픈카 속삭여주고싶네
이 판에서 오픈카가 왜 금지어인지 모르나보네

팬들 커뮤에서 대대적으로 쫓겨났을때
누가 우울증 언급하셔서"
573,이게 우울증이면 세상에 멀쩡한 사람 잇을리가 업ㄹ음
574,"이열 나네~~
난 우울증은 아닐거같지만"
575,"요즘 나의 미스테리는, 한국에 살 땐 한국의 고나리질 문화 때문에 여자들이 불행하기 쉽다는 생각을 했는데 (틈만나면 살빼라 뭐해라 어쩌구 저쩌구) 고나리질 문화가 거의 없는 미국에서도 딱히 여자들이 더 행복한건지 모르겠음.. 우울증이나 낮은 자존감 이슈 있는 애들도 많고..."
576,진짜 우울증 걸렸나 왜이렇게 자주 울지
577,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
578,"그렇다고 행복하냐 하면, 그러니까 중요한 것은 생산성이 아니라 삶의 질이다,라고 하면 근데 또 그 친구가 그렇게 행복하지도 않음... 뭔가 우울증 같은게 있는 사람이 대마중독같은걸로 빠지기도 엄청 쉬운것같음 ㅠㅠ"
579,"@monana
 님에게 보내는 답글"
580,مال امي انا بترويق البيت عايز افهم 
581,주식하니까 우울증이 사라지고 분뇨조절장애가 생긴거 같아요
582,"거적돼지를 끌어안고 보살피던 우울증아저씨
별안간 집을나가버린 버렁돼지, 보송돼지가 되어 새주인에게 가버리다?"
583,트위터 자체에 우울증이나 힘든 상황에서 버티는 사람들이 많고 또 공감하는 사람들도 많아서인지 유독 병증을 앞에 세우거나 변명거리로 쓰는 사람들도 자주 보는데 병증과 개인의 악의나 계산된 의도는 구분되어야 한다 싶고 사람도 바보가 아니기에 자연히 보는 쪽에서 구분하게 되는 것 같음.
584,엄마한테 선물 고맙다고 요즘 틱틱대서 미안하다고 내일 할 일 미리 말해두고 잘자라고 사랑한다고 이모티콘하고 같이 장문으로 보냈는데 그래... 이모티콘 하나 옴 와 나 요즘 너무 정병티냈나봐 나 질렸나봐 미안 엄마 딸이 정신병자라서 완벽해 질 수는 없는걸까 우울증 불면증이 있어도 좋은 딸이
585,"aMCC 자극과 비슷한 간질 치료 - 섬엽 앞쪽을 자극했을때 환자 몇몇이 경험한 '영적인 황홀감'은 전능감이나 다른 무엇과도 바꿀수 없는 행복이었다는데 환각버섯 마약으로 우울증 치료하는 연구 생각나네

이걸 트라우마나 우울증 치료에 도입할수 있다면 얼마나 굉장할까"
586,코로나 풀리자 마자 해외여행 갈거야. 답답하고 우울증 걸릴거같아 #섹트 #펨돔
587,"@cybermangryeong
 님에게 보내는 답글"
588,"#우울계_트친소
우울증 자기혐오 애정결핍 불안증 자해 자살 사회부적응 학밖청인 사람입니다. 자퇴는 하지 않았으나 학교를 가지 않고 있습니다. 사람들의 아픔을 공감하는걸 좋아합니다. 이성애자입니다. 저와 아픔을 나누실분 계신가요. 2달째 병원외에는 외출하지않습니다."
589,정병 도진다 우울증이랑 무기력증을 어떻게 해야 ㅏㅎㅁ
590,난느 우울증도 우울증이지만 우울증보다 불면증ㅇ 더 괴로워..................으으윽...자고싶어...ㅠㅠ....다시 눈감아본다...
591,요즘 화장 지울 기력도 없어 그냥 토너패드로 대충 지우고 자 나 우울증인가
592,"Pms 때문에미쳐버릴것같다
Pms가 10일이 넘엇시발...
이 기간만 되면 무슨 진짜 우울증 걸린것처럼 정신적인 데미지가 너무 커.."
593,"@emiumy
 님에게 보내는 답글"
594,우울증약 단약하다가 다시 먹으니까 진짜 못 견딜 만큼 너무 독하다... 내가 이런 것들을 먹고 있었구나
595,"[연 3.2% 채무통합 2차 정부지원 안내]

연3.2% / 한도 1억 / 최장100개월

※우대사항

-4대보험 가입 근로자

-신용카드 보유 근로자

-카드론사용자,2금융권사용자,중고금리대출 사용자 우대"
596,"가끔 온 몸을 휘감는 갈고리같은, 질척한 관계에 빠지게 될 때가 있다. 우울증 앓는 상대가 나에게 과하게 의존하고 집착하고 비판하고 실망하고 다시 또 애걸복걸하는 일련의 과정들. 비슷한 패턴들이 많이 보여 마음이 아프네."
597,“학생 우울증 적극 대응”…충남도립대 또래 상담자 장학금 신설했다. #충청남도 #소상공인연합신문  -> 자세히보기https://winwinnews.kr/news/593174
598,그으래서... 오늘 공부는 일본어랑 과학만 함... 윸님 안그래도 몸살에 우울증까지 있는데 또 노빠꾸로 병원행 가는거 아닌지
599,“학생 우울증 적극 대응”…충남도립대 또래 상담자 장학금 신설했다. #충청남도 #소상공인연합신문  -> 자세히보기https://winwinnews.kr/news/593174
600,80년대 <강시선생>에 출연해 절정의 인기를 끌던 배우 전소호(전소호 역)는 영화계에서 점점 소외당하고 대중들에게 잊혀지면서 우울증에 걸리게 된다.
601,아놔ㅋㅋㅋㅋ고2때 선생님 나 우울증으로 연속 병결되었을때 우리 엔친구가 마음이 아파요~~ㅇㅈㄹ 우리반 전체한테 말한거 친구한테 전해듣고 기절함
602,"정말 엄청난 굥기 인생

13살 미디 시작
넌 랩 못할거야라는 말에 랩 시작
빅히트 랩 대회에서 준 비트 편곡해서 자기꺼 만듦
18살때 상경
그러나 대인기피증에 우울증
데뷔 직전 오토바이 사고로 어깨 다쳤지만 강행
그 다음은 다들 알지

힘든척하는 애들한테 뭐라 할 수 있는건 민윥기밖에 없음"
